
=== PHANGS STAT check started 2026-07-29T11:34:36 ===
cube_dir=/scratch/pawsey1308/mauve/cubes/v3tk workers=128 galaxies=NGC4254 NGC4321 NGC4535
[NGC4254] cube=/scratch/pawsey1308/mauve/cubes/v3tk/NGC4254_PHANGS_DATACUBE_native.fits
[NGC4254] STAT shape=(3761, 1190, 1012) spectral_fillable_gaps=1987 spatial_fillable_voxels=2035
NGC4254 (x,y)=(423,237) z=1257:1260 wave=6271.25:6275.00 length=4 reason=bounded_by_positive_values
NGC4254 (x,y)=(424,237) z=1257:1260 wave=6271.25:6275.00 length=4 reason=bounded_by_positive_values
NGC4254 (x,y)=(425,237) z=1257:1260 wave=6271.25:6275.00 length=4 reason=bounded_by_positive_values
NGC4254 (x,y)=(423,238) z=1258:1260 wave=6272.50:6275.00 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(424,238) z=1258:1258 wave=6272.50:6272.50 length=1 reason=bounded_by_positive_values
NGC4254 (x,y)=(424,238) z=1260:1260 wave=6275.00:6275.00 length=1 reason=bounded_by_positive_values
NGC4254 (x,y)=(425,238) z=1258:1260 wave=6272.50:6275.00 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(423,248) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(424,248) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(425,248) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(423,249) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(424,249) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(425,249) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(423,250) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(424,250) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(425,250) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(423,251) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(424,251) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(425,251) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(423,252) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(424,252) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(425,252) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(423,253) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(424,253) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(425,253) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(423,254) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(424,254) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(425,254) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(423,255) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(424,255) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(425,255) z=1257:1258 wave=6271.25:6272.50 length=2 reason=bounded_by_positive_values
NGC4254 (x,y)=(423,256) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(424,256) z=1257:1257 wave=6271.25:6271.25 length=1 reason=bounded_by_positive_values
NGC4254 (x,y)=(424,256) z=1259:1259 wave=6273.75:6273.75 length=1 reason=bounded_by_positive_values
NGC4254 (x,y)=(425,256) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(423,257) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(424,257) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(425,257) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(423,258) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(424,258) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(425,258) z=1257:1257 wave=6271.25:6271.25 length=1 reason=bounded_by_positive_values
NGC4254 (x,y)=(425,258) z=1259:1259 wave=6273.75:6273.75 length=1 reason=bounded_by_positive_values
NGC4254 (x,y)=(423,259) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(424,259) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(425,259) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(423,260) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(424,260) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(425,260) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(423,261) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
